date,symbol,open,high,low,close,volume,vwap,sector,market_cap,returns
2021-01-01,ADANIENT,2401.88,2412.09,2349.36,2359.39,5099365,2373.62,Industrials,24576990370.0,
2021-01-01,ADANIPORTS,799.16,810.34,797.81,808.98,3258604,805.71,Industrials,17190897843.0,
2021-01-01,APOLLOHOSP,5540.69,5556.12,5506.89,5522.26,2394854,5528.42,Healthcare,16064751913.0,
2021-01-01,ASIANPAINT,3111.15,3169.43,3103.64,3161.79,5962639,3144.95,Consumer,30597991381.0,
2021-01-01,AXISBANK,997.42,1010.93,985.35,998.85,2503205,998.38,Financials,29965389738.0,
2021-01-01,BAJAJ-AUTO,7508.88,7509.28,7453.7,7454.09,6002468,7472.36,Auto,21865342166.0,
2021-01-01,BAJFINANCE,6942.12,7148.7,6933.91,7140.27,2848809,7074.3,Financials,45901720731.0,
2021-01-01,BHARTIARTL,905.86,910.97,883.76,888.77,11197589,894.5,Telecom,47401031365.0,
2021-01-01,BPCL,449.28,459.68,433.33,443.59,2199110,445.53,Energy,9857603352.0,
2021-01-01,BRITANNIA,4818.7,4828.52,4809.67,4819.49,4064798,4819.23,Consumer,12048717819.0,
2021-01-01,CIPLA,1206.55,1214.24,1182.73,1190.31,12849617,1195.76,Healthcare,18846619588.0,
2021-01-01,COALINDIA,400.15,412.51,365.31,376.96,6010864,384.93,Energy,23560257273.0,
2021-01-01,DIVISLAB,4006.29,4084.22,3908.84,3986.38,7905797,3993.15,Healthcare,20928507316.0,
2021-01-01,DRREDDY,5173.81,5232.45,5051.08,5108.99,3830627,5130.84,Healthcare,21614957223.0,
2021-01-01,EICHERMOT,3527.97,3803.98,3430.94,3702.16,4279349,3645.69,Auto,14808634240.0,
2021-01-01,GRASIM,2017.54,2106.49,1975.16,2063.16,1574198,2048.27,Materials,15473694077.0,
2021-01-01,HCLTECH,1199.01,1199.9,1167.81,1168.67,3989297,1178.79,IT,34086232158.0,
2021-01-01,HDFCBANK,1647.28,1657.66,1646.72,1657.1,12183119,1653.83,Financials,90387289915.0,
2021-01-01,HDFCLIFE,643.71,649.01,637.33,642.63,5051591,642.99,Financials,12852531878.0,
2021-01-01,HEROMOTOCO,2987.14,3059.57,2981.73,3054.04,6560519,3031.78,Auto,12216157575.0,
2021-01-01,HINDALCO,470.44,474.85,462.53,466.91,7735958,468.1,Materials,9934241938.0,
2021-01-01,HINDUNILVR,2407.07,2428.04,2394.7,2415.62,9327140,2412.79,Consumer,55358032930.0,
2021-01-01,ICICIBANK,955.23,1002.83,937.85,984.91,9998173,975.2,Financials,72572365838.0,
2021-01-01,INDUSINDBK,1189.57,1207.42,1132.9,1150.16,10404890,1163.49,Financials,17252400965.0,
2021-01-01,INFY,1509.49,1522.44,1490.69,1503.58,1362976,1505.57,IT,80190849098.0,
2021-01-01,ITC,440.26,447.45,437.01,444.17,4081506,442.88,Consumer,45426594225.0,
2021-01-01,JSWSTEEL,810.15,873.12,787.14,849.01,6282713,836.43,Materials,20963253666.0,
2021-01-01,KOTAKBANK,1804.26,1809.75,1792.87,1798.35,2905743,1800.32,Financials,59944856638.0,
2021-01-01,LT,2783.71,2797.41,2707.51,2720.9,6851405,2741.94,Industrials,38869940587.0,
2021-01-01,M&M,1591.42,1635.57,1571.8,1615.66,2601304,1607.68,Auto,14136987551.0,
2021-01-01,MARUTI,9493.69,9878.31,9347.61,9728.61,7509446,9651.51,Auto,28673796089.0,
2021-01-01,NESTLEIND,21995.09,22325.19,21753.4,22082.54,3622582,22053.71,Consumer,21078788118.0,
2021-01-01,NTPC,242.61,245.02,235.12,237.48,6157325,239.21,Utilities,21769057264.0,
2021-01-01,ONGC,199.83,201.63,189.64,191.37,2741654,194.21,Energy,23920825138.0,
2021-01-01,POWERGRID,229.43,237.63,227.02,235.17,6830517,233.27,Utilities,21471669527.0,
2021-01-01,RELIANCE,2475.61,2600.4,2439.24,2562.75,5330036,2534.13,Energy,102509912178.0,
2021-01-01,SBICARD,797.16,825.2,790.31,818.17,6200158,811.22,Financials,8181653867.0,
2021-01-01,SBILIFE,1402.1,1411.59,1376.07,1385.45,9706745,1391.04,Financials,13854476795.0,
2021-01-01,SBIN,572.44,618.01,567.56,612.79,7816863,599.45,Financials,53753324000.0,
2021-01-01,SHREECEM,27346.1,27355.46,27081.9,27091.17,6331464,27176.18,Materials,10033768181.0,
2021-01-01,SUNPHARMA,1100.37,1102.58,1079.59,1081.77,1534086,1087.98,Healthcare,25569069096.0,
2021-01-01,TATACONSUM,828.1,832.47,820.73,825.08,5418324,826.09,Consumer,7952551829.0,
2021-01-01,TATAPOWER,379.69,390.73,379.08,390.1,6773520,386.64,Utilities,12318894038.0,
2021-01-01,TATASTEEL,130.38,136.76,129.81,136.17,9748926,134.25,Materials,15711355930.0,
2021-01-01,TCS,3494.97,3562.6,3439.88,3507.31,3107887,3503.26,IT,120250567195.0,
2021-01-01,TECHM,1107.93,1119.54,1106.17,1117.76,2385556,1114.49,IT,20322957706.0,
2021-01-01,TITAN,2885.47,3018.97,2778.77,2911.31,6791530,2903.02,Consumer,26101378115.0,
2021-01-01,ULTRACEMCO,8025.2,8110.42,7862.08,7946.46,8765410,7972.99,Materials,22846083584.0,
2021-01-01,VEDL,332.09,335.32,325.13,328.32,3153546,329.59,Materials,11938890646.0,
2021-01-01,WIPRO,449.28,453.04,448.86,452.61,4578587,451.5,IT,25144879901.0,
2021-01-04,ADANIENT,2375.16,2415.46,2346.04,2386.2,3305757,2382.57,Industrials,24856267547.0,0.01136310656568007
2021-01-04,ADANIPORTS,810.99,822.15,798.38,809.53,3089533,810.02,Industrials,17202427078.0,0.0006798684763529295
2021-01-04,APOLLOHOSP,5482.01,5527.04,5452.12,5497.07,3330596,5492.08,Healthcare,15991465763.0,-0.004561538210805072
2021-01-04,ASIANPAINT,3146.43,3276.91,3062.65,3191.91,9850327,3177.16,Consumer,30889473966.0,0.009526249371400342
2021-01-04,AXISBANK,993.03,1000.87,987.83,995.65,7431105,994.78,Financials,29869525240.0,-0.0032036842368724505
2021-01-04,BAJAJ-AUTO,7481.61,7522.6,7229.75,7269.58,5748690,7340.65,Auto,21324112466.0,-0.024752853802409214
2021-01-04,BAJFINANCE,7170.78,7174.98,7080.75,7084.9,4191262,7113.54,Financials,45545762734.0,-0.007754608719278244
2021-01-04,BHARTIARTL,889.9,894.75,868.21,872.97,5493040,878.64,Telecom,46558305646.0,-0.01777737772427057
2021-01-04,BPCL,443.48,461.76,440.63,458.81,4791114,453.73,Energy,10195822292.0,0.03431096282603319
2021-01-04,BRITANNIA,4825.49,4871.96,4756.76,4803.01,8682228,4810.58,Consumer,12007527827.0,-0.0034194489458426736
2021-01-04,CIPLA,1196.32,1206.69,1181.17,1191.5,7830545,1193.12,Healthcare,18865434433.0,0.0009997395636431872
